2015-08-25 14:26:49,686,L133|queue size:0                                                                    
2015-08-25 14:27:19,701,L133|queue size:0                                                                    
2015-08-25 14:27:19,702,L133|======== idle ========                                                          
2015-08-25 14:27:49,731,L133|queue size:0                                                                    
2015-08-25 14:27:49,732,L133|======== idle ========                                                          
2015-08-25 14:28:19,749,L133|queue size:0                                                                    
2015-08-25 14:28:19,749,L133|======== idle ========                                                          
2015-08-25 14:28:49,770,L133|queue size:0                                                                    
2015-08-25 14:28:49,770,L133|======== idle ========                                                          
2015-08-25 14:29:19,780,L133|queue size:0                                                                    
2015-08-25 14:29:19,780,L133|======== idle ========                                                          
2015-08-25 14:29:49,791,L133|queue size:0                                                                    
2015-08-25 14:29:49,792,L133|======== idle ========                                                          
2015-08-25 14:30:19,807,L133|queue size:0                                                                    
2015-08-25 14:30:19,807,L133|======== idle ========                                                          
2015-08-25 14:30:49,823,L133|queue size:0                                                                    
2015-08-25 14:30:49,823,L133|======== idle ========                                                          
2015-08-25 14:31:19,838,L133|queue size:0                                                                    
2015-08-25 14:31:19,839,L133|======== idle ========                                                          
2015-08-25 14:31:49,856,L133|queue size:0                                                                    
2015-08-25 14:31:49,856,L133|======== idle ========                                                          
2015-08-25 14:32:19,870,L133|queue size:0                                                                    
2015-08-25 14:32:19,871,L133|======== idle ========                                                          
2015-08-25 14:32:49,880,L133|queue size:0                                                                    
2015-08-25 14:32:49,880,L133|======== idle ========                                                          
2015-08-25 14:33:19,893,L133|queue size:0                                                                    
2015-08-25 14:33:19,893,L133|======== idle ========                                                          
2015-08-25 14:33:49,924,L133|queue size:0                                                                    
2015-08-25 14:33:49,924,L133|======== idle ========                                                          
2015-08-25 14:34:19,957,L133|queue size:0                                                                    
2015-08-25 14:34:19,957,L133|======== idle ========                                                          
2015-08-25 14:34:49,987,L133|queue size:0                                                                    
2015-08-25 14:34:49,988,L133|======== idle ========                                                          
2015-08-25 14:35:20,018,L133|queue size:0                                                                    
2015-08-25 14:35:20,018,L133|======== idle ========                                                          
2015-08-25 14:35:50,049,L133|queue size:0                                                                    
2015-08-25 14:35:50,049,L133|======== idle ========                                                          
2015-08-25 14:36:20,070,L133|queue size:0                                                                    
2015-08-25 14:36:20,071,L133|======== idle ========                                                          
2015-08-25 14:36:50,103,L133|queue size:0                                                                    
2015-08-25 14:36:50,104,L133|======== idle ========                                                          
